Title,Agency,Release Date,Incident Date,Incident Location,PDF | Image Link,Type,Document Link,Source Filename,File Group,Output Path
"DOW-UAP-D74, Mission Report, Syria, November 2023",Department of War,5/8/26,11/9/23,Syria,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-D74__Mission_Report__Syria__November_2023.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-D74__Mission_Report__Syria__November_2023.pdf,DOW-UAP-D74__Mission_Report__Syria__November_2023.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-D74__Mission_Report__Syria__November_2023.pdf
"DOW-UAP-D75, Mission Report, Gulf of Aden, July 2024",Department of War,5/8/26,7/14/24,Gulf of Aden,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-D75__Mission_Report__Gulf_of_Aden__July_2024.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-D75__Mission_Report__Gulf_of_Aden__July_2024.pdf,DOW-UAP-D75__Mission_Report__Gulf_of_Aden__July_2024.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-D75__Mission_Report__Gulf_of_Aden__July_2024.pdf
"DOW-UAP-D8, Mission Report, Djibouti, 2025",Department of War,5/8/26,,Mediterranean Sea,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-D8__Mission_Report__Djibouti__2025.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-D8__Mission_Report__Djibouti__2025.pdf,DOW-UAP-D8__Mission_Report__Djibouti__2025.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-D8__Mission_Report__Djibouti__2025.pdf
"DOW-UAP-PR19, Unresolved UAP Report, Middle East, May 2022",Department of War,5/8/26,,Middle East,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR19__Unresolved_UAP_Report__Middle_East__May_2022.pdf,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR19__Unresolved_UAP_Report__Middle_East__May_2022.pdf,DOW-UAP-PR19__Unresolved_UAP_Report__Middle_East__May_2022.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR19__Unresolved_UAP_Report__Middle_East__May_2022.pdf
"DOW-UAP-PR20, Unresolved UAP Report, Kuwait, May 2022",Department of War,5/8/26,,Iraq,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR20__Unresolved_UAP_Report__Kuwait__May_2022.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR20__Unresolved_UAP_Report__Kuwait__May_2022.pdf,DOW-UAP-PR20__Unresolved_UAP_Report__Kuwait__May_2022.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR20__Unresolved_UAP_Report__Kuwait__May_2022.pdf
"DOW-UAP-PR21, Unresolved UAP Report, Iraq, May 2022",Department of War,5/8/26,,Iraq,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR21__Unresolved_UAP_Report__Iraq__May_2022.pdf,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR21__Unresolved_UAP_Report__Iraq__May_2022.pdf,DOW-UAP-PR21__Unresolved_UAP_Report__Iraq__May_2022.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR21__Unresolved_UAP_Report__Iraq__May_2022.pdf
"DOW-UAP-PR22, Unresolved UAP Report, Syria, July 2022",Department of War,5/8/26,,Syria,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR22__Unresolved_UAP_Report__Syria__July_2022.pdf,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR22__Unresolved_UAP_Report__Syria__July_2022.pdf,DOW-UAP-PR22__Unresolved_UAP_Report__Syria__July_2022.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR22__Unresolved_UAP_Report__Syria__July_2022.pdf
"DOW-UAP-PR23, Unresolved UAP Report, Iraq, December 2022",Department of War,5/8/26,,Iraq,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR23__Unresolved_UAP_Report__Iraq__December_2022.pdf,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR23__Unresolved_UAP_Report__Iraq__December_2022.pdf,DOW-UAP-PR23__Unresolved_UAP_Report__Iraq__December_2022.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR23__Unresolved_UAP_Report__Iraq__December_2022.pdf
"DOW-UAP-PR26, Unresolved UAP Report, United Arab Emirates, October 2023",Department of War,5/8/26,,United Arab Emirates,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR26__Unresolved_UAP_Report__United_Arab_Emirates__October_2023.pdf,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR26__Unresolved_UAP_Report__United_Arab_Emirates__October_2023.pdf,DOW-UAP-PR26__Unresolved_UAP_Report__United_Arab_Emirates__October_2023.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR26__Unresolved_UAP_Report__United_Arab_Emirates__October_2023.pdf
"DOW-UAP-PR27, Unresolved UAP Report, United Arab Emirates, October 2023",Department of War,5/8/26,,United Arab Emirates,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR27__Unresolved_UAP_Report__United_Arab_Emirates__October_2023.pdf,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR27__Unresolved_UAP_Report__United_Arab_Emirates__October_2023.pdf,DOW-UAP-PR27__Unresolved_UAP_Report__United_Arab_Emirates__October_2023.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR27__Unresolved_UAP_Report__United_Arab_Emirates__October_2023.pdf
"DOW-UAP-PR28, Unresolved UAP Report, Greece, January 2024",Department of War,5/8/26,,Greece,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR28__Unresolved_UAP_Report__Greece__January_2024.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR28__Unresolved_UAP_Report__Greece__January_2024.mp4,DOW-UAP-PR28__Unresolved_UAP_Report__Greece__January_2024.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR28__Unresolved_UAP_Report__Greece__January_2024.mp4
"DOW-UAP-PR29, Unresolved UAP Report, United Arab Emirates, June 2024",Department of War,5/8/26,,Gulf of Oman,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR29__Unresolved_UAP_Report__United_Arab_Emirates__June_2024.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR29__Unresolved_UAP_Report__United_Arab_Emirates__June_2024.mp4,DOW-UAP-PR29__Unresolved_UAP_Report__United_Arab_Emirates__June_2024.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR29__Unresolved_UAP_Report__United_Arab_Emirates__June_2024.mp4
"DOW-UAP-PR31, Unresolved UAP Report, Syria, October 2024",Department of War,5/8/26,,Syria,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR31__Unresolved_UAP_Report__Syria__October_2024.pdf,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR31__Unresolved_UAP_Report__Syria__October_2024.pdf,DOW-UAP-PR31__Unresolved_UAP_Report__Syria__October_2024.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR31__Unresolved_UAP_Report__Syria__October_2024.pdf
"DOW-UAP-PR32, Unresolved UAP Report, Syria, October 2024",Department of War,5/8/26,,Syria,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR32__Unresolved_UAP_Report__Syria__October_2024.pdf,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR32__Unresolved_UAP_Report__Syria__October_2024.pdf,DOW-UAP-PR32__Unresolved_UAP_Report__Syria__October_2024.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR32__Unresolved_UAP_Report__Syria__October_2024.pdf
"DOW-UAP-PR33, Unresolved UAP Report, Syria, October 2024",Department of War,5/8/26,,Syria,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR33__Unresolved_UAP_Report__Syria__October_2024.pdf,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR33__Unresolved_UAP_Report__Syria__October_2024.pdf,DOW-UAP-PR33__Unresolved_UAP_Report__Syria__October_2024.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR33__Unresolved_UAP_Report__Syria__October_2024.pdf
"DOW-UAP-PR34, Unresolved UAP Report, Greece, October 2023",Department of War,5/8/26,,Greece,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR34__Unresolved_UAP_Report__Greece__October_2023.pdf,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR34__Unresolved_UAP_Report__Greece__October_2023.pdf,DOW-UAP-PR34__Unresolved_UAP_Report__Greece__October_2023.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR34__Unresolved_UAP_Report__Greece__October_2023.pdf
"DOW-UAP-PR35, Unresolved UAP Report, Greece, October 2023",Department of War,5/8/26,,Greece,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR35__Unresolved_UAP_Report__Greece__October_2023.pdf,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR35__Unresolved_UAP_Report__Greece__October_2023.pdf,DOW-UAP-PR35__Unresolved_UAP_Report__Greece__October_2023.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR35__Unresolved_UAP_Report__Greece__October_2023.pdf
"DOW-UAP-PR36, Unresolved UAP Report, Middle East, May 2020",Department of War,5/8/26,,Middle East,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR36__Unresolved_UAP_Report__Middle_East__May_2020.pdf,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/DOW-UAP-PR36__Unresolved_UAP_Report__Middle_East__May_2020.pdf,DOW-UAP-PR36__Unresolved_UAP_Report__Middle_East__May_2020.pdf,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR36__Unresolved_UAP_Report__Middle_East__May_2020.pdf
"DOW-UAP-PR37, Unresolved UAP Report, Middle East, 2020",Department of War,5/8/26,,Arabian Gulf,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR37__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR37__Unresolved_UAP_Report__Middle_East__2020.mp4,DOW-UAP-PR37__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR37__Unresolved_UAP_Report__Middle_East__2020.mp4
"DOW-UAP-PR38, Unresolved UAP Report, Middle East, 2013",Department of War,5/8/26,,Middle East,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR38__Unresolved_UAP_Report__Middle_East__2013.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR38__Unresolved_UAP_Report__Middle_East__2013.mp4,DOW-UAP-PR38__Unresolved_UAP_Report__Middle_East__2013.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR38__Unresolved_UAP_Report__Middle_East__2013.mp4
"DOW-UAP-PR39, Unresolved UAP Report, Middle East, 2020",Department of War,5/8/26,,Arabian Gulf,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR39__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR39__Unresolved_UAP_Report__Middle_East__2020.mp4,DOW-UAP-PR39__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR39__Unresolved_UAP_Report__Middle_East__2020.mp4
"DOW-UAP-PR40, Unresolved UAP Report, Middle East, 2020",Department of War,5/8/26,,Arabian Gulf,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR40__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR40__Unresolved_UAP_Report__Middle_East__2020.mp4,DOW-UAP-PR40__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR40__Unresolved_UAP_Report__Middle_East__2020.mp4
"DOW-UAP-PR41, Unresolved UAP Report, Middle East, 2020",Department of War,5/8/26,,Arabian Gulf,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR41__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR41__Unresolved_UAP_Report__Middle_East__2020.mp4,DOW-UAP-PR41__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR41__Unresolved_UAP_Report__Middle_East__2020.mp4
"DOW-UAP-PR42, Unresolved UAP Report, Middle East, 2020",Department of War,5/8/26,,Arabian Gulf,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR42__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR42__Unresolved_UAP_Report__Middle_East__2020.mp4,DOW-UAP-PR42__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR42__Unresolved_UAP_Report__Middle_East__2020.mp4
"DOW-UAP-PR43, Unresolved UAP Report, Africa, 2025",Department of War,5/8/26,,Djibouti,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR43__Unresolved_UAP_Report__Africa__2025.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR43__Unresolved_UAP_Report__Africa__2025.mp4,DOW-UAP-PR43__Unresolved_UAP_Report__Africa__2025.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR43__Unresolved_UAP_Report__Africa__2025.mp4
"DOW-UAP-PR44, Unresolved UAP Report, Middle East, 2020",Department of War,5/8/26,,Arabian Gulf,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR44__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR44__Unresolved_UAP_Report__Middle_East__2020.mp4,DOW-UAP-PR44__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR44__Unresolved_UAP_Report__Middle_East__2020.mp4
"DOW-UAP-PR45, Unresolved UAP Report, Middle East, 2020",Department of War,5/8/26,,Southern United States,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR45__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR45__Unresolved_UAP_Report__Middle_East__2020.mp4,DOW-UAP-PR45__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR45__Unresolved_UAP_Report__Middle_East__2020.mp4
"DOW-UAP-PR46, Unresolved UAP Report, INDOPACOM, 2024",Department of War,5/8/26,,East China Sea,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR46__Unresolved_UAP_Report__INDOPACOM__2024.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR46__Unresolved_UAP_Report__INDOPACOM__2024.mp4,DOW-UAP-PR46__Unresolved_UAP_Report__INDOPACOM__2024.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR46__Unresolved_UAP_Report__INDOPACOM__2024.mp4
"DOW-UAP-PR47, Unresolved UAP Report, INDOPACOM, 2023",Department of War,5/8/26,,Japan,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR47__Unresolved_UAP_Report__INDOPACOM__2023.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR47__Unresolved_UAP_Report__INDOPACOM__2023.mp4,DOW-UAP-PR47__Unresolved_UAP_Report__INDOPACOM__2023.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR47__Unresolved_UAP_Report__INDOPACOM__2023.mp4
"DOW-UAP-PR48, Unresolved UAP Report, INDOPACOM, 2024",Department of War,5/8/26,,Indo-PACOM,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR48__Unresolved_UAP_Report__INDOPACOM__2024.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR48__Unresolved_UAP_Report__INDOPACOM__2024.mp4,DOW-UAP-PR48__Unresolved_UAP_Report__INDOPACOM__2024.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR48__Unresolved_UAP_Report__INDOPACOM__2024.mp4
"DOW-UAP-PR49, Unresolved UAP Report, Department of the Army, 2026",Department of War,5/8/26,,North America,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR49__Unresolved_UAP_Report__Department_of_the_Army__2026.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR49__Unresolved_UAP_Report__Department_of_the_Army__2026.mp4,DOW-UAP-PR49__Unresolved_UAP_Report__Department_of_the_Army__2026.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR49__Unresolved_UAP_Report__Department_of_the_Army__2026.mp4
FBI Photo A1,FBI,5/8/26,Late 2025,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A1.png,IMG,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A1.png,FBI_Photo_A1.png,IMG,ufo_release/FBI/IMG/FBI_Photo_A1.png
FBI Photo A2,FBI,5/8/26,Late 2025,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A2.png,IMG,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A2.png,FBI_Photo_A2.png,IMG,ufo_release/FBI/IMG/FBI_Photo_A2.png
FBI Photo A3,FBI,5/8/26,Late 2025,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A3.png,IMG,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A3.png,FBI_Photo_A3.png,IMG,ufo_release/FBI/IMG/FBI_Photo_A3.png
FBI Photo A4,FBI,5/8/26,Late 2025,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A4.png,IMG,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A4.png,FBI_Photo_A4.png,IMG,ufo_release/FBI/IMG/FBI_Photo_A4.png
FBI Photo A5,FBI,5/8/26,Late 2025,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A5.png,IMG,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A5.png,FBI_Photo_A5.png,IMG,ufo_release/FBI/IMG/FBI_Photo_A5.png
FBI Photo A6,FBI,5/8/26,Late 2025,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A6.png,IMG,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A6.png,FBI_Photo_A6.png,IMG,ufo_release/FBI/IMG/FBI_Photo_A6.png
